OBJECTID,Site ID,Company,Corp,Site,State,PADD,Atmos. Crude Dist,Vacuum Dist,Catalytic Cracking,Hydro Cracking,"Thermal Cracking, Visbreaking",Catalytic Recorming,"Alkylates, Isomerization",Desulfurization,Fluid and Delayed Coking,Asphalt and Road Oil,Source,Period,Latitude,Longitude,Link_Imports,x,y
211,351,VALERO REFINING CO TEXAS LP,VALERO ENERGY CORP,CORPUS CHRISTI,Texas,3,,91,95.5,51,,50,40.5,293.5,19,30.6,EIA-820 Refinery Capacity Report,"As of January 1, 2023",27.8168,-97.4845,,-10851925.4568,3225890.7473
212,353,AMERICAN REFINING GROUP INC,AMERICAN REFINING GROUP INC,BRADFORD,Pennsylvania,1,,,,,,2.2,0.8,8.7,,0.6,EIA-820 Refinery Capacity Report,"As of January 1, 2023",41.9667,-78.6294,,-8752987.441,5155994.8157
213,356,WYOMING REFINING CO,PAR PETROLEUM INC,NEWCASTLE,Wyoming,4,,,7.5,,,4,1.3,10,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",43.8485,-104.2139,,-11601038.6155,5442030.3056
214,362,FORELAND REFINING CORP,FORELAND REFINING CORP,ELY,Nevada,5,,2.8,,,,,,,,1.6,EIA-820 Refinery Capacity Report,"As of January 1, 2023",38.6215,-115.6179,,-12870525.5319,4667596.81
215,363,PAR HAWAII REFINING LLC,PAR PETROLEUM INC,KAPOLEI,Hawaii,5,,40,,20,11,13.5,,13,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",21.3038,-158.0914,,-17598654.1468,2428136.8737
216,381,COUNTRYMARK REFINING & LOGISTICS LLC,COUNTRYMARK COOP INC,MOUNT VERNON,Indiana,2,,14.5,9,,,6.5,5.9,34.5,,3.7,EIA-820 Refinery Capacity Report,"As of January 1, 2023",37.906,-87.9289,,-9788197.8137,4566159.2131
217,382,CROSS OIL REFINING & MARKETING INC,MARTIN RESOURCE MANAGEMENT GRP,SMACKOVER,Arkansas,3,,3.9,,,,,,6,,0.8,EIA-820 Refinery Capacity Report,"As of January 1, 2023",33.3632,-92.7121,,-10320666.3227,3943613.7144
218,385,DEER PARK REFINING LP,PEMEX,DEER PARK,Texas,3,,180,80.1,60,,68.5,21,328.6,96,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.7314,-95.1268,,-10589466.6028,3469075.5877
219,386,DIAMOND SHAMROCK REFINING CO LP,VALERO ENERGY CORP,SUNRAY,Texas,3,,50,56,29,,47,12.8,131.5,,12,EIA-820 Refinery Capacity Report,"As of January 1, 2023",35.9556,-101.881,,-11341340.0396,4294517.8447
220,387,DIAMOND SHAMROCK REFINING CO LP,VALERO ENERGY CORP,THREE RIVERS,Texas,3,,33.5,23.8,28,,33.5,10,83,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",28.4592,-98.1883,,-10930267.6617,3306994.0011
